equivalence_id,member_count,base_name,render_bucket,members,basis
SHADER_EQ_0146,1,ped_decal_decoration,2,ped_decal_decoration.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0147,1,ped_decal_exp,2,ped_decal_expensive.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0148,1,ped_decal_nodiff,2,ped_decal_nodiff.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0149,1,ped_default,0,ped_default.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0150,1,ped_default_cloth,0,ped_default_cloth.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0151,1,ped_default,3,ped_default_cutout.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0152,1,ped_default_enveff,0,ped_default_enveff.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0153,1,ped_default_mp,0,ped_default_mp.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0154,1,ped_default_palette,0,ped_default_palette.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0155,1,ped_emissive,0,ped_emissive.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0156,1,ped_enveff,0,ped_enveff.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0157,1,ped_fur,3,ped_fur.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0158,1,ped_hair_cutout_alpha,3,ped_hair_cutout_alpha.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0159,1,ped_hair_cutout_alpha_cloth,3,ped_hair_cutout_alpha_cloth.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0160,1,ped_hair_spiked,3,ped_hair_spiked.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0161,1,ped_nopeddamagedecals,0,ped_nopeddamagedecals.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0162,1,ped_palette,0,ped_palette.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0163,1,ped_wrinkle,0,ped_wrinkle.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0164,1,ped_wrinkle_cloth,0,ped_wrinkle_cloth.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0165,1,ped_wrinkle_cloth_enveff,0,ped_wrinkle_cloth_enveff.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0166,1,ped_wrinkle_cs,0,ped_wrinkle_cs.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0167,1,ped_wrinkle_enveff,0,ped_wrinkle_enveff.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0168,1,ptfx_model,1,ptfx_model.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0169,1,reflect,0,reflect.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0170,1,reflect_decal,2,reflect_decal.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0171,1,sky_system,0,sky_system.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0172,1,spec,1,spec_alpha.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0173,1,spec_decal,2,spec_decal.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0174,1,spec_reflect,0,spec_reflect.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0175,1,spec_reflect,1,spec_reflect_alpha.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0176,1,spec_reflect_decal,2,spec_reflect_decal.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0177,1,spec,3,spec_screendooralpha.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0178,1,spec_tnt,0,spec_tnt.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0179,1,spec_twiddle_tnt,0,spec_twiddle_tnt.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0180,1,terrain_cb_4lyr,0,terrain_cb_4lyr.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0181,1,terrain_cb_4lyr_2tex,0,terrain_cb_4lyr_2tex.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0182,1,terrain_cb_4lyr_lod,0,terrain_cb_4lyr_lod.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0183,1,terrain_cb_w_4lyr,0,terrain_cb_w_4lyr.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0184,1,terrain_cb_w_4lyr_2tex,0,terrain_cb_w_4lyr_2tex.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0185,1,terrain_cb_w_4lyr_2tex_blend,0,terrain_cb_w_4lyr_2tex_blend.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0186,1,terrain_cb_w_4lyr_2tex_blend_lod,0,terrain_cb_w_4lyr_2tex_blend_lod.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0187,1,terrain_cb_w_4lyr_2tex_blend_pxm,0,terrain_cb_w_4lyr_2tex_blend_pxm.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0188,1,terrain_cb_w_4lyr_2tex_blend_pxm_spm,0,terrain_cb_w_4lyr_2tex_blend_pxm_spm.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0189,1,terrain_cb_w_4lyr_2tex_pxm,0,terrain_cb_w_4lyr_2tex_pxm.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0190,1,terrain_cb_w_4lyr_cm,0,terrain_cb_w_4lyr_cm.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0191,1,terrain_cb_w_4lyr_cm_pxm,0,terrain_cb_w_4lyr_cm_pxm.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0192,1,terrain_cb_w_4lyr_cm_pxm_tnt,0,terrain_cb_w_4lyr_cm_pxm_tnt.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0193,1,terrain_cb_w_4lyr_cm_tnt,0,terrain_cb_w_4lyr_cm_tnt.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0194,1,terrain_cb_w_4lyr_lod,0,terrain_cb_w_4lyr_lod.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0195,1,terrain_cb_w_4lyr_pxm,0,terrain_cb_w_4lyr_pxm.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0196,1,terrain_cb_w_4lyr_pxm_spm,0,terrain_cb_w_4lyr_pxm_spm.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0197,1,terrain_cb_w_4lyr_spec,0,terrain_cb_w_4lyr_spec.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0198,1,terrain_cb_w_4lyr_spec_int,0,terrain_cb_w_4lyr_spec_int.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0199,1,terrain_cb_w_4lyr_spec_int_pxm,0,terrain_cb_w_4lyr_spec_int_pxm.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0200,1,terrain_cb_w_4lyr_spec_pxm,0,terrain_cb_w_4lyr_spec_pxm.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0201,1,trees,3,trees.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0202,1,trees_lod,3,trees_lod.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0203,1,trees_lod2,3,trees_lod2.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0204,1,trees_lod_tnt,3,trees_lod_tnt.sps,"same base shader, render bucket, parameters and layouts"
