selector,equivalence_id,member_count,base_name,render_bucket,structure_fingerprint,members,basis
vehicle_dash_emissive_opaque.sps,SHADER_EQ_0220,1,vehicle_dash_emissive_opaque,0,29052957eb4687c6,vehicle_dash_emissive_opaque.sps,"same base shader, render bucket, parameters and layouts"
vehicle_decal.sps,SHADER_EQ_0221,1,vehicle_decal,1,f8b21714aa539701,vehicle_decal.sps,"same base shader, render bucket, parameters and layouts"
vehicle_decal2.sps,SHADER_EQ_0222,1,vehicle_decal2,2,9e2328ccc1604e31,vehicle_decal2.sps,"same base shader, render bucket, parameters and layouts"
vehicle_detail.sps,SHADER_EQ_0223,1,vehicle_detail,0,5190483336a33e1f,vehicle_detail.sps,"same base shader, render bucket, parameters and layouts"
vehicle_detail2.sps,SHADER_EQ_0224,1,vehicle_detail2,0,73443591ad9fba09,vehicle_detail2.sps,"same base shader, render bucket, parameters and layouts"
vehicle_emissive_alpha.sps,SHADER_EQ_0225,1,vehicle_emissive_alpha,1,0f89a04fbc4019f3,vehicle_emissive_alpha.sps,"same base shader, render bucket, parameters and layouts"
vehicle_emissive_opaque.sps,SHADER_EQ_0226,1,vehicle_emissive_opaque,0,88fbe411ff23dc5e,vehicle_emissive_opaque.sps,"same base shader, render bucket, parameters and layouts"
vehicle_generic.sps,SHADER_EQ_0227,1,vehicle_generic,0,a3d1b923c7b901cb,vehicle_generic.sps,"same base shader, render bucket, parameters and layouts"
vehicle_interior.sps,SHADER_EQ_0228,1,vehicle_interior,0,0c8db95449dea49b,vehicle_interior.sps,"same base shader, render bucket, parameters and layouts"
vehicle_interior2.sps,SHADER_EQ_0229,1,vehicle_interior2,0,e7251f9a68a31b2b,vehicle_interior2.sps,"same base shader, render bucket, parameters and layouts"
vehicle_licenseplate.sps,SHADER_EQ_0230,1,vehicle_licenseplate,0,495ebcbc0e62d890,vehicle_licenseplate.sps,"same base shader, render bucket, parameters and layouts"
vehicle_lights.sps,SHADER_EQ_0231,2,vehicle_vehglass,1,366cabcb28b8e88d,vehicle_lights.sps | vehicle_vehglass.sps,"same base shader, render bucket, parameters and layouts"
vehicle_vehglass.sps,SHADER_EQ_0231,2,vehicle_vehglass,1,366cabcb28b8e88d,vehicle_lights.sps | vehicle_vehglass.sps,"same base shader, render bucket, parameters and layouts"
vehicle_lightsemissive.sps,SHADER_EQ_0232,1,vehicle_lightsemissive,1,1c9a45636dbead8b,vehicle_lightsemissive.sps,"same base shader, render bucket, parameters and layouts"
vehicle_lightsemissive_siren.sps,SHADER_EQ_0233,1,vehicle_lightsemissive_siren,1,1c9a45636dbead8b,vehicle_lightsemissive_siren.sps,"same base shader, render bucket, parameters and layouts"
vehicle_mesh.sps,SHADER_EQ_0234,1,vehicle_mesh,0,79ea0fbe29a27ff4,vehicle_mesh.sps,"same base shader, render bucket, parameters and layouts"
vehicle_mesh2_enveff.sps,SHADER_EQ_0235,1,vehicle_mesh2_enveff,0,ae71467b06a025f2,vehicle_mesh2_enveff.sps,"same base shader, render bucket, parameters and layouts"
vehicle_mesh_enveff.sps,SHADER_EQ_0236,1,vehicle_mesh_enveff,0,84e50f3269cdcad5,vehicle_mesh_enveff.sps,"same base shader, render bucket, parameters and layouts"
vehicle_nosplash.sps,SHADER_EQ_0237,1,vehicle_paint1,4,33bea8141e41395e,vehicle_nosplash.sps,"same base shader, render bucket, parameters and layouts"
vehicle_nowater.sps,SHADER_EQ_0238,1,vehicle_paint1,5,33bea8141e41395e,vehicle_nowater.sps,"same base shader, render bucket, parameters and layouts"
vehicle_paint1.sps,SHADER_EQ_0239,1,vehicle_paint1,0,33bea8141e41395e,vehicle_paint1.sps,"same base shader, render bucket, parameters and layouts"
vehicle_paint1_enveff.sps,SHADER_EQ_0240,1,vehicle_paint1_enveff,0,b0faa46671765391,vehicle_paint1_enveff.sps,"same base shader, render bucket, parameters and layouts"
vehicle_paint2.sps,SHADER_EQ_0241,1,vehicle_paint2,0,64caadb0c9f2c143,vehicle_paint2.sps,"same base shader, render bucket, parameters and layouts"
vehicle_paint2_enveff.sps,SHADER_EQ_0242,1,vehicle_paint2_enveff,0,6effac6ea1ef1b74,vehicle_paint2_enveff.sps,"same base shader, render bucket, parameters and layouts"
vehicle_paint3.sps,SHADER_EQ_0243,1,vehicle_paint3,0,ff9181037721e89e,vehicle_paint3.sps,"same base shader, render bucket, parameters and layouts"
vehicle_paint3_enveff.sps,SHADER_EQ_0244,1,vehicle_paint3_enveff,0,71e98669874b64f9,vehicle_paint3_enveff.sps,"same base shader, render bucket, parameters and layouts"
vehicle_paint3_lvr.sps,SHADER_EQ_0245,1,vehicle_paint3_lvr,0,a2e130484944befc,vehicle_paint3_lvr.sps,"same base shader, render bucket, parameters and layouts"
vehicle_paint4.sps,SHADER_EQ_0246,1,vehicle_paint4,0,803085ff21fe4d8e,vehicle_paint4.sps,"same base shader, render bucket, parameters and layouts"
vehicle_paint4_emissive.sps,SHADER_EQ_0247,1,vehicle_paint4_emissive,0,d1674dcf5930e29d,vehicle_paint4_emissive.sps,"same base shader, render bucket, parameters and layouts"
vehicle_paint4_enveff.sps,SHADER_EQ_0248,1,vehicle_paint4_enveff,0,553d918c22bfac52,vehicle_paint4_enveff.sps,"same base shader, render bucket, parameters and layouts"
vehicle_paint5_enveff.sps,SHADER_EQ_0249,1,vehicle_paint5_enveff,0,e956c7c75bff6502,vehicle_paint5_enveff.sps,"same base shader, render bucket, parameters and layouts"
vehicle_paint6.sps,SHADER_EQ_0250,1,vehicle_paint6,0,ccec8aca3331388f,vehicle_paint6.sps,"same base shader, render bucket, parameters and layouts"
vehicle_paint6_enveff.sps,SHADER_EQ_0251,1,vehicle_paint6_enveff,0,40e0aee2e3531942,vehicle_paint6_enveff.sps,"same base shader, render bucket, parameters and layouts"
vehicle_paint7.sps,SHADER_EQ_0252,1,vehicle_paint7,0,6eb8ae2fa5833659,vehicle_paint7.sps,"same base shader, render bucket, parameters and layouts"
vehicle_paint7_enveff.sps,SHADER_EQ_0253,1,vehicle_paint7_enveff,0,e0c1b1db11199015,vehicle_paint7_enveff.sps,"same base shader, render bucket, parameters and layouts"
vehicle_paint8.sps,SHADER_EQ_0254,1,vehicle_paint8,0,c01811eadf45e996,vehicle_paint8.sps,"same base shader, render bucket, parameters and layouts"
